smiles,klebsiella_pneumoniae,heavy_atoms
Brc1ccc2ncccc2c1,0.004676601383835,11
Brc1ccc2ncncc2c1,0.005991225130856,11
Brc1ccccc1,0.0037746643647551,7
C#C[C@]1(O)[C@H](C)CCO[C@H]1C,0.000648015004117,11
C/C=N/NC=O,0.0013568050926551,6
C1C2CC3CC1CC(C2)C3,0.0009019857970997,10
C1CCCCC1,0.001049178186804,6
C1CCNCC1,0.0009710739250294,6
C1CN(C2=NCCS2)C1,0.0007191625190898,9
C1CN2CCC1CC2,0.0007599291857331,8
C1CNC2CNCC2C1,0.0007073038723319,9
C1CNCCN1,0.0010769540676847,6
C1CNCCNC1,0.0008045647409744,7
C1CN[C@@H]2CNC[C@@H]2C1,0.0007073038723319,9
C1COCCN1,0.0009981846669688,6
C1CSCCN1,0.0014299574540928,6
C=C1CCO[C@H]2NC(=O)[C@@]1(O)NC2=O,0.0012824778677895,14
C=CC1=C(C(=O)O)N2C(=O)CC2SC1,0.0034854949917644,14
C=CC1=C(C(=O)O)N2C(=O)C[C@H]2SC1,0.0034854949917644,14
C=C[C@]1(O)[C@H](C)CCO[C@H]1C,0.0007253155927173,11
CC#C[C@@]1(O)[C@H](C)OCC[C@@H]1C,0.0006262533133849,12
CC#C[C@]1(O)[C@H](C)CCO[C@H]1C,0.0006262207170948,12
CC(=N)N1CCCC1,0.0006586019881069,8
CC(=N[O-])C(C)C,0.0009436716791242,7
CC(=O)CC=O,0.0014332298887893,6
CC(C)(C)C=O,0.0010588556760922,6
CC(C)(NN)C(=O)O,0.0007746817427687,8
CC(C)/N=c1/ccc2nc3ccccc3[nH]c-2c1,0.0012353882193565,18
CC(C)=NNC(=N)N,0.00078568974277,8
CC(C)C(=O)O,0.0009134317515417,6
CC(C)C(=O)[O-],0.0009794593788683,6
CC(C)CC(C)(C)C,0.0007145922863855,8
CC(C)CC=O,0.0010269834892824,6
CC(O)(CO)CO,0.0007602582336403,7
CC1(C)CCC(O)CC1,0.0006471684318967,9
