smiles,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
C1=CN(C=N1)C=2C=CC(=CC2)CNCC3=CN4CCCCCC4=N3,Z3800756729,321.42,321.42,1.853,-2.069,1,3,47.67,5,https://real.enamine.net/public-enum-files/Z3800756729
CN1N=C(C2=NN=C(COC3CCCCC3)O2)C=4C=CC=CC4C1=O,Z1664065107,340.377,340.377,1.156,-3.906,0,5,80.82,4,
COC1=CN=C(NC1=O)C2(CCCC2)NCC=3C=CC=4C=CC=CC4C3,Z3016331812,349.427,349.427,2.377,-4.887,2,4,62.72,5,https://real.enamine.net/public-enum-files/Z3016331812
CN1C=C(CN[C@H]2C=3C=CC=CC3C[C@@H]2O)C(=N1)C4CC4,Z2993217788,283.369,283.369,0.895,-1.59,2,3,50.08,4,https://real.enamine.net/public-enum-files/Z2993217788
O=C(C=1C=CN=C(N1)C=2C=CC=CC2)N3CCC(=O)NCC43COC4,Z3053878992,338.361,338.361,0.092,-3.882,1,5,84.42,2,https://real.enamine.net/public-enum-files/Z3053878992
CC1C2CCCCC2CN1C(=O)C=3C=C(F)C=C4CCNCC34,Z4422289345,316.414,316.414,2.864,-4.2,1,2,32.34,1,https://real.enamine.net/public-enum-files/Z4422289345
CNC(=O)COC1CN(C1)C(=O)C=2C=CC=3N=C(NC3C2)C=4C=CC=CC4,Z3352005597,364.399,364.399,2.299,-4.915,2,4,87.32,5,https://real.enamine.net/public-enum-files/Z3352005597
CN1CCN(CC1)C=2N=CC=CC2CNC3CCCC=4SC=NC43,Z2698799682,343.492,343.492,1.054,-2.212,1,5,44.29,4,https://real.enamine.net/public-enum-files/Z2698799682
COC=1C=CC=2OCC(=CC2C1)C(=O)NCC=3C=CC=C(C3)CN4CCCC4=O,Z1389546308,392.449,392.449,2.363,-4.72,1,4,67.87,6,https://real.enamine.net/public-enum-files/Z1389546308
ClC=1C=CC(=CC1)N2C=C(COC=3C=CC=4CNCC4C3)N=N2,Z5336753620,326.781,326.781,3.155,-3.281,1,4,51.97,4,https://real.enamine.net/public-enum-files/Z5336753620
NC(=O)C=1C(F)=CC=CC1N2CCC(CC2)OCC3CC3,Z2970082243,292.349,292.349,0.993,-3.311,1,3,55.56,5,https://real.enamine.net/public-enum-files/Z2970082243
O[C@@H]1C[C@H](O)CN(C1)C=2C=CC(=NN2)C=3C=CC=CC3Cl,Z2970125623,305.76,305.76,1.644,-3.912,2,5,69.48,2,https://real.enamine.net/public-enum-files/Z2970125623
CNC(=O)C1CN(C1)C=2N=CN=C3C2C=NN3C=4C=CC=CC4F,Z2971212155,326.329,326.329,1.667,-4.245,1,5,75.94,4,https://real.enamine.net/public-enum-files/Z2971212155
"COC(C)C1=NC(=CS1)CNC(=O)N[C@@H]2CC=3C=CC=CC3[C@H]2O |&1:14,22,r|",Z2971713555,347.434,347.434,0.879,-2.581,3,4,83.48,5,https://real.enamine.net/public-enum-files/Z2971713555
CC=1C=C(N=C(N1)C2CCC2)NCC=3C=CC(=CC3C)S(N)(=O)=O,Z2971738293,346.449,346.449,2.56,-3.818,2,5,97.97,5,https://real.enamine.net/public-enum-files/Z2971738293
O=C(N1CCCC1)C2(O)CCCN(C2)C=3C=CC(=CN3)C=4C=CN=CC4,Z2972161338,352.431,352.431,1.762,-3.422,1,5,69.56,3,https://real.enamine.net/public-enum-files/Z2972161338
FC=1C=C(C=CN1)N2CCN(CC2)C=3C=C(N=CN3)C(F)F,Z2972565132,309.29,309.29,1.352,-3.741,0,5,45.15,3,https://real.enamine.net/public-enum-files/Z2972565132
C1=NN(C=C1CN2CC(C2)C3CCOCC3)CC4CCC4,Z2972850761,289.417,289.417,1.849,-1.619,0,3,30.29,5,https://real.enamine.net/public-enum-files/Z2972850761
CC1=NN(C(C)=C1CN2CCCC3(CCS(=O)(=O)C3)C2)C(C)C,Z2973675531,339.498,339.498,0.724,-0.583,0,4,55.2,3,https://real.enamine.net/public-enum-files/Z2973675531
O=C(CNC(=O)N1CCCC1)NC2=NC(=CS2)C3=CC=CC(O)=C3,Z2974261816,346.406,346.406,2.332,-4.071,3,4,94.56,7,https://real.enamine.net/public-enum-files/Z2974261816
CC1CCOCCN1C(=O)NCC2=NC(=NN2)C=3C=CC=CN3,Z2974349751,316.359,316.359,0.317,-2.34,2,5,96.03,5,https://real.enamine.net/public-enum-files/Z2974349751
"C=C[C@@H]1OCC[C@H]1CNC(=O)N2CCOC(CS(C)(=O)=O)C2 |&1:2,6,r|",Z2974624242,332.417,332.417,-0.827,-1.427,1,5,84.94,5,https://real.enamine.net/public-enum-files/Z2974624242
"CC(C)(C)C1=COC(CNC(=O)N[C@@H]2C[C@H]2C3=CC=C(F)C=C3F)=N1 |&1:13,15,r|",Z2975354915,349.376,349.376,2.923,-3.485,2,2,67.16,5,https://real.enamine.net/public-enum-files/Z2975354915
"O[C@H]1CCC(C[C@H]1O)NC2=CN=C3C=C(F)C(F)=CC3=N2 |&1:1,6,r|",Z2976668237,295.285,295.285,1.602,-2.43,3,5,78.27,2,https://real.enamine.net/public-enum-files/Z2976668237
"CC=1C=CC=CC1C2=NSC(=N2)NC3CC[C@H](O)[C@H](O)C3 |&1:16,18,r|",Z2976669344,305.397,305.397,1.914,-4.687,3,5,78.27,3,https://real.enamine.net/public-enum-files/Z2976669344
COC=1C=CC(=CN1)C2CCN(CC2)C(=O)C3=CN=C4SC=CN4C3=O,Z2981470573,370.427,370.427,0.677,-3.581,0,5,75.1,3,https://real.enamine.net/public-enum-files/Z2981470573
C1=C(COC2CCCCO2)N=NN1[C@@H]3CCCC4=CC=CN=C43,Z2982767128,314.383,314.383,1.012,-1.487,0,5,62.06,4,https://real.enamine.net/public-enum-files/Z2982767128
O=C(O)CCC1CCCN(C1)C2=NOC(CC=3C=CC(F)=CC3)=N2,Z2989395599,333.358,333.358,2.679,-3.305,1,5,79.46,6,https://real.enamine.net/public-enum-files/Z2989395599
FC(F)(F)C=1C=CC(=CC1)CCN2N=NN=C2N3CCOCC3,Z2990116923,327.306,327.306,2.717,-3.382,0,5,56.07,5,
CN(C)C(=O)C=1C=NC=C(C1)C=2C=CC=3OCCC(C(=O)O)C3C2,Z2991031322,326.347,326.347,0.63,-3.1,1,5,79.73,4,https://real.enamine.net/public-enum-files/Z2991031322
