smiles,A_baumanii_fold_0,E_coli_fold_0,K_pneumoniae_fold_0,P_aeruginosa_fold_0,A_baumanii_fold_1,E_coli_fold_1,K_pneumoniae_fold_1,P_aeruginosa_fold_1,A_baumanii_fold_2,E_coli_fold_2,K_pneumoniae_fold_2,P_aeruginosa_fold_2,A_baumanii_fold_3,E_coli_fold_3,K_pneumoniae_fold_3,P_aeruginosa_fold_3,A_baumanii_fold_4,E_coli_fold_4,K_pneumoniae_fold_4,P_aeruginosa_fold_4,A_baumanii_fold_5,E_coli_fold_5,K_pneumoniae_fold_5,P_aeruginosa_fold_5,A_baumanii_fold_6,E_coli_fold_6,K_pneumoniae_fold_6,P_aeruginosa_fold_6,A_baumanii_fold_7,E_coli_fold_7,K_pneumoniae_fold_7,P_aeruginosa_fold_7,A_baumanii_fold_8,E_coli_fold_8,K_pneumoniae_fold_8,P_aeruginosa_fold_8,N_gonorrhoeae_fold_0,N_gonorrhoeae_fold_1,N_gonorrhoeae_fold_2,N_gonorrhoeae_fold_3,N_gonorrhoeae_fold_4,N_gonorrhoeae_fold_5,N_gonorrhoeae_fold_6,N_gonorrhoeae_fold_7,N_gonorrhoeae_fold_8,A_baumanii_avg,E_coli_avg,K_pneumoniae_avg,P_aeruginosa_avg,N_gonorrhoeae_avg,druglikeness,novelty,cluster_id
Cc1c(C#N)c(NC(=O)CCl)n(Cc2ccccc2)c1C,0.0037,0.0031,0.0023,0.0007,0.4492,0.0711,0.0325,0.0177,0.132,0.0149,0.0086,0.0072,0.5088,0.0578,0.0266,0.0419,0.2613,0.0165,0.0125,0.0151,0.4081,0.0813,0.0528,0.0316,0.2983,0.034,0.0232,0.0261,0.0954,0.0185,0.0102,0.0084,0.0,0.0,0.0,0.0,0.0676,0.1949,0.0731,0.0051,0.0011,0.3195,0.1469,0.3739,0.1586,0.2396,0.033,0.0187,0.0165,0.149,0.7394,0.761194,1379
COc1ccc(NC(=O)CCl)cc1NC(=O)OC(C)(C)C,0.0019,0.0015,0.0011,0.0003,0.3107,0.0235,0.0136,0.0156,0.0623,0.0047,0.0032,0.0044,0.556,0.1299,0.052,0.0429,0.1155,0.0043,0.0041,0.0087,0.3118,0.0388,0.0277,0.0257,0.2883,0.0311,0.0217,0.0256,0.075,0.0137,0.008,0.0074,0.0,0.0541,0.008,0.0,0.0759,0.1571,0.0362,0.0025,0.0005,0.617,0.1084,0.286,0.1634,0.1913,0.0335,0.0155,0.0145,0.1608,0.6736,0.785714,1378
CC(C)(C)OC(=O)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1,0.0025,0.0021,0.0015,0.0005,0.4465,0.1487,0.0643,0.0143,0.0627,0.0048,0.0032,0.0045,0.5444,0.1257,0.05,0.039,0.15,0.0064,0.0057,0.0101,0.1482,0.0092,0.0079,0.0154,0.0985,0.0054,0.0054,0.0133,0.0714,0.0131,0.0077,0.0072,0.0,0.0034,0.0002,0.0,0.0596,0.2959,0.0578,0.9757,0.893,0.0824,0.2063,0.2875,0.1285,0.1694,0.0354,0.0162,0.0116,0.3319,0.7021,0.789474,1376
Cc1cc(SCC(=O)O)n2c(nc3ccccc32)c1C#N,0.003,0.0024,0.0018,0.0005,0.4514,0.0652,0.0311,0.0213,0.0848,0.0076,0.0048,0.0056,0.5807,0.0789,0.0347,0.0562,0.144,0.0063,0.0058,0.0109,0.1892,0.0146,0.0121,0.0192,0.1392,0.0092,0.0084,0.0173,0.103,0.0208,0.0113,0.009,0.0,0.0,0.0,0.0,0.05,0.1686,0.0101,0.129,0.3979,0.1598,0.5101,0.5443,0.2946,0.1884,0.0228,0.0122,0.0156,0.2516,0.7896,0.794118,1373
COc1ccc2c(c1)C1(NNc3ccccc3O1)C(=O)N2,0.0025,0.002,0.0015,0.0004,0.4696,0.234,0.0974,0.0132,0.0673,0.0053,0.0035,0.0046,0.5776,0.1098,0.0437,0.0443,0.3778,0.0345,0.0221,0.0183,0.1211,0.0065,0.0059,0.0136,0.2567,0.0244,0.0175,0.0224,0.0601,0.0106,0.0065,0.0067,0.001,0.0063,0.0008,0.0,0.3722,0.3856,0.0446,0.0064,0.3191,0.1186,0.6928,0.4392,0.2939,0.2149,0.0482,0.0221,0.0137,0.2969,0.6265,0.797297,1372
O=C(CCl)N1N=C(c2ccc(Cl)cc2)CC1c1ccco1,0.0018,0.0014,0.001,0.0003,0.1777,0.0093,0.0069,0.0115,0.1086,0.0111,0.0065,0.0061,0.4699,0.0498,0.0234,0.0353,0.1428,0.0059,0.0053,0.0096,0.3601,0.0608,0.0408,0.028,0.3132,0.0387,0.0254,0.0259,0.098,0.0193,0.0105,0.0085,0.0,0.0,0.0,0.0,0.0142,0.1688,0.0135,0.0004,0.0022,0.2585,0.1242,0.2385,0.1654,0.1858,0.0218,0.0133,0.0139,0.1095,0.8101,0.824176,1369
O=C(CCl)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0.0054,0.0046,0.0034,0.0011,0.1955,0.0112,0.008,0.0124,0.1018,0.01,0.006,0.0058,0.5073,0.0867,0.0371,0.0376,0.4066,0.043,0.0268,0.0201,0.3114,0.0419,0.0295,0.0252,0.3467,0.0499,0.0315,0.0287,0.0888,0.017,0.0095,0.008,0.0,0.0001,0.0,0.0,0.0219,0.1651,0.0169,0.0015,0.0037,0.271,0.0437,0.2055,0.2465,0.2182,0.0294,0.0169,0.0154,0.1084,0.8183,0.777778,1368
O=Cc1cc([N+](=O)[O-])ccc1Sc1nc2ccccc2s1,0.0089,0.0081,0.0059,0.0019,0.5027,0.1269,0.0581,0.0259,0.1298,0.0145,0.0083,0.0068,0.6994,0.2067,0.0879,0.1108,0.1266,0.0053,0.005,0.0102,0.1882,0.0144,0.0119,0.0188,0.2875,0.0334,0.0232,0.0268,0.1261,0.0268,0.0139,0.0099,0.0268,0.1426,0.0543,0.0063,0.1505,0.3769,0.7459,0.4692,0.982,0.6923,0.851,0.6236,0.2503,0.2329,0.0643,0.0298,0.0242,0.5713,0.7675,0.730769,1367
Cc1csc(N(C(=O)CCl)c2cccc(C(F)(F)F)c2)n1,0.0046,0.0039,0.0028,0.0009,0.3103,0.0239,0.0137,0.0148,0.0636,0.0049,0.0033,0.0045,0.5583,0.1167,0.047,0.0429,0.1731,0.008,0.0067,0.0108,0.3157,0.0425,0.0297,0.0249,0.1825,0.0139,0.0113,0.0186,0.075,0.0138,0.008,0.0074,0.0,0.0,0.0,0.0,0.175,0.2724,0.0145,0.0005,0.0038,0.3934,0.1473,0.4416,0.3265,0.187,0.0253,0.0136,0.0139,0.1972,0.7881,0.808824,1366
O=C(O)CSc1ccc(S(=O)(=O)C(F)(F)F)cc1[N+](=O)[O-],0.0079,0.0071,0.0051,0.0017,0.3479,0.0343,0.0198,0.0221,0.1156,0.0123,0.0072,0.0065,0.5946,0.0948,0.0415,0.0628,0.1518,0.0067,0.006,0.0107,0.286,0.0357,0.0263,0.0256,0.2904,0.036,0.0252,0.0288,0.1334,0.0291,0.0148,0.0104,0.0,0.0052,0.0027,0.0001,0.0381,0.2982,0.368,0.5103,0.6339,0.3244,0.5658,0.6296,0.425,0.2142,0.029,0.0165,0.0187,0.4215,0.7975,0.734694,1365
