smiles,A_baumanii_fold_0,E_coli_fold_0,K_pneumoniae_fold_0,P_aeruginosa_fold_0,A_baumanii_fold_1,E_coli_fold_1,K_pneumoniae_fold_1,P_aeruginosa_fold_1,A_baumanii_fold_2,E_coli_fold_2,K_pneumoniae_fold_2,P_aeruginosa_fold_2,A_baumanii_fold_3,E_coli_fold_3,K_pneumoniae_fold_3,P_aeruginosa_fold_3,A_baumanii_fold_4,E_coli_fold_4,K_pneumoniae_fold_4,P_aeruginosa_fold_4,A_baumanii_fold_5,E_coli_fold_5,K_pneumoniae_fold_5,P_aeruginosa_fold_5,A_baumanii_fold_6,E_coli_fold_6,K_pneumoniae_fold_6,P_aeruginosa_fold_6,A_baumanii_fold_7,E_coli_fold_7,K_pneumoniae_fold_7,P_aeruginosa_fold_7,A_baumanii_fold_8,E_coli_fold_8,K_pneumoniae_fold_8,P_aeruginosa_fold_8,N_gonorrhoeae_fold_0,N_gonorrhoeae_fold_1,N_gonorrhoeae_fold_2,N_gonorrhoeae_fold_3,N_gonorrhoeae_fold_4,N_gonorrhoeae_fold_5,N_gonorrhoeae_fold_6,N_gonorrhoeae_fold_7,N_gonorrhoeae_fold_8,A_baumanii_avg,E_coli_avg,K_pneumoniae_avg,P_aeruginosa_avg,N_gonorrhoeae_avg,druglikeness,novelty,cluster_id,known_antibiotics_novelty,hts_hit_novelty,closest_antibiotic,closest_hts_hit,filter_status,filter_reason,scaffold_antibiotics_novelty,scaffold_hts_hit_novelty,closest_antibiotic_scaffold,closest_hts_hit_scaffold
O=C(Nc1ccc(Cl)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21,0.0012,0.0009,0.0007,0.0002,0.0177,0.0005,0.0008,0.0051,0.0447,0.0029,0.0021,0.0038,0.3093,0.0114,0.0075,0.0263,0.0109,0.0002,0.0003,0.0024,0.0803,0.0033,0.0033,0.0108,0.0561,0.0025,0.0029,0.0102,0.0699,0.0127,0.0075,0.0072,0.0,0.0001,0.0,0.0,0.2988,0.6143,0.879,0.8631,0.8273,0.6758,0.7975,0.788,0.5096,0.0656,0.0038,0.0028,0.0073,0.6948,0.754,0.741379,794,0.741379,0.742857,O=C(NC1C(=O)NC2Cc3ccc(c(Cl)c3)Oc3cc4cc(c3O)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(O)cc(c2)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](C(=O)O)NC3=O)OCC1c2ccccc2-c2ccccc21,O=C(Nc1cc(Cl)ccc1Cl)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,FILTERED,motif:tetracyclic_core,0.705882,0.631579,CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C([O-])=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,O=C(NO)c1cn(-c2cccc(C(=O)N3CCC4(CC3)C(=O)NCN4c3ccccc3)c2)nn1
O=C(O)c1cn(Cc2ccccc2)c2ccccc2c1=O,0.4564,0.5563,0.4872,0.3145,0.513,0.1617,0.1321,0.2863,0.5049,0.3339,0.2558,0.174,0.6591,0.2462,0.1858,0.4457,0.1454,0.0164,0.0214,0.0596,0.5929,0.4177,0.3921,0.3685,0.5806,0.5273,0.5428,0.6133,0.5126,0.3547,0.2084,0.1004,0.8901,0.1374,0.0384,0.4489,0.7498,0.506,0.8159,0.4581,0.9397,0.8553,0.905,0.507,0.5055,0.5394,0.3057,0.2515,0.3124,0.6936,0.8556,0.576923,793,0.576923,0.661017,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,FILTERED,motif:quinolone,0.673469,0.567568,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,0.0277,0.0297,0.0213,0.0072,0.3895,0.0272,0.0148,0.0215,0.0386,0.0024,0.0018,0.0034,0.4936,0.035,0.0174,0.0417,0.0698,0.0021,0.0023,0.0067,0.1277,0.0067,0.006,0.0143,0.134,0.008,0.0074,0.016,0.0798,0.0148,0.0085,0.0077,0.9948,0.0039,0.0116,0.0011,0.6807,0.6908,0.9209,0.6276,0.6021,0.8366,0.779,0.7397,0.5093,0.2617,0.0144,0.0101,0.0133,0.7096,0.7264,0.647059,792,0.636364,0.687500,c1ccc(CNCCNCc2ccccc2)cc1,c1ccc(CCNc2ccnc3cc4ccccc4cc23)cc1,FILTERED,motif:monoaminopyrimidine,0.636364,0.673077,N[C@@H]1CONC1=O,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO
Clc1ccc(CCNC2CCN(Cc3ccccc3)CC2)c(Cl)c1,0.0059,0.0052,0.0037,0.0012,0.4635,0.0374,0.0178,0.0211,0.0569,0.004,0.0028,0.0041,0.5403,0.0487,0.0222,0.0442,0.248,0.0139,0.0105,0.0132,0.193,0.0137,0.011,0.0174,0.2553,0.0228,0.0166,0.0225,0.0741,0.0134,0.0078,0.0072,0.9971,0.0097,0.0,0.0,0.5536,0.5786,0.9279,0.9908,0.9949,0.7966,0.7106,0.6769,0.4925,0.3149,0.0188,0.0103,0.0145,0.7469,0.7932,0.742424,791,0.742424,0.652174,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Brc1ccc2nc(N3CCCN(Cc4ccccc4)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2c1,KEPT,,0.621622,0.581818,Cc1cc(O)ccc1Cl,Brc1ccc2nc(N3CCCN(Cc4ccccc4)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2c1
O=S(=O)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,0.0013,0.001,0.0007,0.0002,0.0083,0.0002,0.0005,0.0038,0.0195,0.001,0.0008,0.0024,0.1754,0.0038,0.0033,0.0178,0.0174,0.0004,0.0006,0.0031,0.0222,0.0005,0.0007,0.0053,0.0194,0.0007,0.001,0.006,0.0573,0.01,0.0062,0.0065,0.0,0.0,0.0,0.0004,0.4983,0.705,0.8962,0.9984,0.9975,0.8644,0.8224,0.8876,0.7466,0.0356,0.0019,0.0015,0.0051,0.8241,0.7961,0.703704,790,0.703704,0.813953,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,CCOC(=O)c1c(C)cc(O)c(C=O)c1O,FILTERED,motif:sulfone_general,0.000000,0.685714,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccc(Br)cc2)ccc1Cl,0.0075,0.0068,0.0049,0.0015,0.0594,0.0021,0.0025,0.0101,0.0778,0.0065,0.0042,0.005,0.3438,0.0137,0.0088,0.0321,0.0716,0.0023,0.0025,0.0069,0.082,0.0035,0.0035,0.0111,0.0793,0.0041,0.0044,0.0125,0.081,0.0152,0.0087,0.0077,0.0003,0.0,0.0,0.0,0.4547,0.5029,0.8569,0.9053,0.99,0.78,0.701,0.7463,0.437,0.0892,0.006,0.0044,0.0097,0.7082,0.7973,0.744681,789,0.744681,0.509091,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=C(Nc1cc(Cl)ccc1Cl)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,FILTERED,motif:sulfonamide_h1,0.428571,0.470588,CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
Nc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1,0.0007,0.0005,0.0004,0.0001,0.001,0.0,0.0001,0.0013,0.0158,0.0007,0.0007,0.0022,0.0087,0.0001,0.0002,0.0026,0.0032,0.0001,0.0001,0.0012,0.018,0.0004,0.0005,0.0047,0.0052,0.0001,0.0003,0.003,0.0316,0.0051,0.0036,0.0049,0.0,0.0,0.0,0.0,0.6795,0.5091,0.6871,0.9805,0.9923,0.5153,0.8522,0.7941,0.4968,0.0094,0.0008,0.0006,0.0022,0.723,0.8224,0.547619,788,0.547619,0.761905,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl,FILTERED,motif:sulfonamide_h1,0.428571,0.470588,CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
O=C(O)c1oc2ccccc2c1CSc1ccc(Cl)cc1,0.0026,0.0021,0.0015,0.0005,0.1305,0.0052,0.0046,0.0129,0.0712,0.0058,0.0038,0.0049,0.4222,0.023,0.0128,0.0363,0.0417,0.0011,0.0014,0.005,0.1038,0.0051,0.0047,0.0127,0.0773,0.0039,0.0043,0.0126,0.0913,0.0176,0.0097,0.0082,0.0,0.0001,0.0001,0.0,0.1432,0.3577,0.9067,0.9949,0.9975,0.6102,0.8173,0.8127,0.3857,0.1045,0.0071,0.0048,0.0103,0.6695,0.8213,0.800000,787,0.800000,0.800000,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,KEPT,,0.787879,0.709677,Cc1cc(O)cc(C)c1Cl,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
Sc1ncc(-c2ccc(Cl)cc2)n1-c1cccc(Cl)c1Cl,0.0033,0.0027,0.002,0.0006,0.4741,0.0524,0.0241,0.0205,0.0404,0.0026,0.0019,0.0035,0.5023,0.0372,0.0183,0.0424,0.049,0.0013,0.0016,0.0053,0.0801,0.0033,0.0032,0.0106,0.1604,0.011,0.0094,0.0175,0.0729,0.0132,0.0077,0.0072,0.0,0.0126,0.002,0.0,0.6255,0.7001,0.8957,0.5383,0.9044,0.7801,0.5029,0.6802,0.3954,0.1536,0.0151,0.0078,0.012,0.6692,0.6056,0.802817,786,0.802817,0.800000,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,KEPT,,0.742857,0.742857,NNC(=O)c1ccncc1,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)[C@]2(C=C(NC(=O)/C(C)=C\C=C/[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](OC(C)=O)[C@@H]1C)C4=O)OCC(=O)O2
O=C(O)CCCN1C(=O)C(=Cc2ccc(Br)cc2)SC1=S,0.0022,0.0017,0.0013,0.0004,0.04,0.0013,0.0017,0.0067,0.0499,0.0035,0.0024,0.004,0.1403,0.0029,0.0027,0.0143,0.0243,0.0006,0.0008,0.0037,0.0494,0.0017,0.0018,0.0082,0.099,0.0055,0.0056,0.0138,0.0654,0.0118,0.0071,0.007,0.0,0.0,0.0,0.0,0.391,0.4082,0.8622,0.8104,0.9142,0.7734,0.742,0.7999,0.5613,0.0523,0.0032,0.0026,0.0064,0.6958,0.8067,0.833333,785,0.784314,0.833333,C=CCCCCCCCCC(=O)O,Cn1sc(=O)n(Cc2ccccc2)c1=O,FILTERED,pains:ene_rhod_A(235),0.736842,0.750000,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12.Cl
