,mole,smiles
0,CN(Cc1cccc(F)c1)C(=O)Cn1nnc2ccccc21,CN(Cc1cccc(F)c1)C(=O)Cn1nnc2ccccc21
2,O=C(Cn1nnc2ccccc21)N1CC=CCC[C@@H]1c1ccccc1,O=C(Cn1nnc2ccccc21)N1CC=CCC[C@@H]1c1ccccc1
4,CCN(C(=O)Cn1nnc2ccccc21)C(c1ccccc1)c1ccccc1,CCN(C(=O)Cn1nnc2ccccc21)C(c1ccccc1)c1ccccc1
6,CC(C)CN(Cc1ccccc1)C(=O)Cn1nnc2ccccc21,CC(C)CN(Cc1ccccc1)C(=O)Cn1nnc2ccccc21
7,C[C@@H](c1ccccc1)N(C(=O)Cn1nnc2ccccc21)C1CC1,C[C@@H](c1ccccc1)N(C(=O)Cn1nnc2ccccc21)C1CC1
8,C[C@@H](c1ccccc1)N(C)C(=O)Cn1nnc2ccccc21,C[C@@H](c1ccccc1)N(C)C(=O)Cn1nnc2ccccc21
10,C[C@H](NC(=O)Cn1nnc2ccccc21)c1cccc(Cl)c1,C[C@H](NC(=O)Cn1nnc2ccccc21)c1cccc(Cl)c1
11,COc1ccc(Cl)cc1CN(C)C(=O)Cn1nnc2ccccc21,COc1ccc(Cl)cc1CN(C)C(=O)Cn1nnc2ccccc21
12,CCN(Cc1ccccc1)C(=O)Cn1nnc2ccccc21,CCN(Cc1ccccc1)C(=O)Cn1nnc2ccccc21
14,CN(Cc1ccccc1)C(=O)Cn1nnc2ccccc21,CN(Cc1ccccc1)C(=O)Cn1nnc2ccccc21
15,C[C@H](c1cccc(C(F)(F)F)c1)N(C(=O)Cn1nnc2ccccc21)C1CC1,C[C@H](c1cccc(C(F)(F)F)c1)N(C(=O)Cn1nnc2ccccc21)C1CC1
16,C[C@H](c1cccc(Cl)c1)N(C)C(=O)Cn1nnc2ccccc21,C[C@H](c1cccc(Cl)c1)N(C)C(=O)Cn1nnc2ccccc21
18,CC[C@@H](c1ccccc1)N(CC)C(=O)Cn1nnc2ccccc21,CC[C@@H](c1ccccc1)N(CC)C(=O)Cn1nnc2ccccc21
19,O=C1C[C@H](Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)N1,O=C1C[C@H](Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)N1
21,CC(C)(C)c1ccc(N(C(=O)c2ccco2)[C@@H](C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,CC(C)(C)c1ccc(N(C(=O)c2ccco2)[C@@H](C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
23,O=C1[C@H](c2cccc(Cl)c2)CCN1c1cncc2ccccc12,O=C1[C@H](c2cccc(Cl)c2)CCN1c1cncc2ccccc12
25,O=C(Nc1cncc2cnccc12)[C@@H]1CCOc2ccc(Cl)cc21,O=C(Nc1cncc2cnccc12)[C@@H]1CCOc2ccc(Cl)cc21
27,O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)Cc1cccs1,O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)Cc1cccs1
29,O=C1[C@H](c2ccc(Cl)cc2)CCCN1c1cncc2ccccc12,O=C1[C@H](c2ccc(Cl)cc2)CCCN1c1cncc2ccccc12
31,O=C(c1cncc2ccccc12)N1CCN(c2cccc(Cl)c2)C(=O)C1,O=C(c1cncc2ccccc12)N1CCN(c2cccc(Cl)c2)C(=O)C1
33,O=C1[C@H](c2cccc(Cl)c2)CCCN1c1cncc2ccccc12,O=C1[C@H](c2cccc(Cl)c2)CCCN1c1cncc2ccccc12
35,O=C1N[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,O=C1N[C@]2(CCOc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
37,O=C(Cc1cccc(Cl)n1)Nc1cncc2ccccc12,O=C(Cc1cccc(Cl)n1)Nc1cncc2ccccc12
40,O=C1C[C@H](NC(=O)[C@@H]2CCOc3ccc(Cl)cc32)CCN1,O=C1C[C@H](NC(=O)[C@@H]2CCOc3ccc(Cl)cc32)CCN1
42,Cn1c(=O)[nH]c2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c21,Cn1c(=O)[nH]c2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c21
44,O=C(Nc1cncc2c1C[NH2+]CC2)[C@@H]1CCOc2ccc(Cl)cc21,O=C(Nc1cncc2c1C[NH2+]CC2)[C@@H]1CCOc2ccc(Cl)cc21
46,[NH3+]C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,[NH3+]C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
48,CCC(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12,CCC(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12
50,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O[C@H]2CC(=O)N2)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O[C@H]2CC(=O)N2)c1
52,CCC(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H](C(=O)NCCc1cccc(F)c1)c1cccnc1,CCC(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H](C(=O)NCCc1cccc(F)c1)c1cccnc1
53,CC(C)Oc1ccc(N(C(=O)c2c[nH+]c[nH]2)[C@@H](C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,CC(C)Oc1ccc(N(C(=O)c2c[nH+]c[nH]2)[C@@H](C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
54,NC(=O)N1CC[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,NC(=O)N1CC[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21
56,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)nc1,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)nc1
58,O=C1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2N1,O=C1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2N1
60,O=C(Cc1cc(F)ccc1F)Nc1cncc2ccccc12,O=C(Cc1cc(F)ccc1F)Nc1cncc2ccccc12
62,O=C(Cc1ccc(Cl)cn1)Nc1cncc2ccccc12,O=C(Cc1ccc(Cl)cn1)Nc1cncc2ccccc12
64,O=C(Cc1cccc(F)c1)Nc1cncc2ccccc12,O=C(Cc1cccc(F)c1)Nc1cncc2ccccc12
66,Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1,Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1
68,N#Cc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,N#Cc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1
69,O=C(Cc1ccc(F)cc1)Nc1cncc2ccccc12,O=C(Cc1ccc(F)cc1)Nc1cncc2ccccc12
71,N#Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1,N#Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1
72,O=C(Cc1cc(F)cc(F)c1)Nc1cncc2ccccc12,O=C(Cc1cc(F)cc(F)c1)Nc1cncc2ccccc12
74,O=C(Nc1cncc2ccccc12)[C@@H]1CCN(Cc2nnc[nH]2)c2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@@H]1CCN(Cc2nnc[nH]2)c2ccc(Cl)cc21
76,[NH3+][C@@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,[NH3+][C@@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1
77,O=C(Cc1ccc(F)c(Cl)c1)Nc1cncc2ccccc12,O=C(Cc1ccc(F)c(Cl)c1)Nc1cncc2ccccc12
79,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2c(Cl)cc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2c(Cl)cc(Cl)cc21
81,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2cc(Cl)c(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2cc(Cl)c(Cl)cc21
82,C[C@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,C[C@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1
84,O=C(Nc1cncc2ccccc12)[C@@H]1CCN(Cc2ncc[nH]2)c2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@@H]1CCN(Cc2ncc[nH]2)c2ccc(Cl)cc21
86,CS(=O)(=O)c1ccc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c2c1,CS(=O)(=O)c1ccc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c2c1
88,O=C(Nc1cncc2ccccc12)[C@]1(O)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(O)CCOc2ccc(Cl)cc21
90,O=C(Cc1cncc(Cl)c1)Nc1cncc2ccccc12,O=C(Cc1cncc(Cl)c1)Nc1cncc2ccccc12
92,C[NH2+][C@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,C[NH2+][C@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1
94,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2cc(F)c(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2cc(F)c(Cl)cc21
96,CO[C@@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,CO[C@@H](C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1
