name,class,smiles,status,source,cid,molecular_formula,molecular_weight,search_term,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,heavy_atoms
ciprofloxacin,fluoroquinolone,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,ok,original,,,331.13321965599994,,1.5833,74.57,2,5,3,2,24
levofloxacin,fluoroquinolone,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ok,original,,,361.14378433999997,,1.5439999999999998,75.00999999999999,1,6,2,2,26
moxifloxacin,fluoroquinolone,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,ok,original,,,401.17508446799997,,2.3705000000000007,83.80000000000001,2,6,4,2,29
ofloxacin,fluoroquinolone,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ok,original,,,361.14378433999997,,1.5439999999999998,75.00999999999999,1,6,2,2,26
norfloxacin,fluoroquinolone,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,ok,original,,,319.133219656,,1.2683,74.57000000000001,2,5,3,2,23
gatifloxacin,fluoroquinolone,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,ok,original,,,375.15943440399997,,1.9804,83.80000000000001,2,6,4,2,27
gemifloxacin,fluoroquinolone,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,ok,original,,,389.14993234,,0.966,123.04,2,8,5,2,28
delafloxacin,fluoroquinolone,N=c1[nH]c(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F,ok,original,,,440.04991720399994,,1.74807,122.41,4,6,3,3,30
lomefloxacin,fluoroquinolone,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,ok,original,,,351.139447908,,1.7959,74.57000000000001,2,5,3,2,25
sparfloxacin,fluoroquinolone,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,ok,original,,,392.165997004,,2.0816,100.59,3,6,3,2,28
nalidixic acid,quinolone ancestor,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,ok,original,,,232.084792244,,1.4230200000000002,72.19,1,4,2,2,17
penicillin G,penicillin,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,ok,original,,,334.09872805599997,,1.7011,90.2,2,4,4,1,23
penicillin V,penicillin,CC1(C)S[C@@H]2[C@H](N=C(O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,ok,original,,,350.09364267599994,,1.5373999999999999,99.43000000000002,2,5,5,1,24
amoxicillin,aminopenicillin,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,ok,original,,,365.104541708,,0.8639999999999999,136.45,4,6,4,1,25
ampicillin,aminopenicillin,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,ok,original,,,349.10962708799997,,1.1584,116.22000000000001,3,5,4,1,24
oxacillin,penicillinase-resistant penicillin,Cc1onc(-c2ccccc2)c1C(O)=N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,ok,original,,,401.104541708,,2.4701200000000005,116.23,2,6,4,2,28
